Qty,Value,Device,Package,Parts,MF,MPN,OC_FARNELL,PROD_ID,SOURCELIBRARY,VALUE,VENDOR,Description
1,LED red,LED 0805,805,LED1,,E6C0805URAC1UDA,,,,,,LED
4,100 nF,CAP 0603,603,"C5, C6, C7, C9",,CL10B104KO8NFNC,,,,,,Unpolarized capacitor
1,10118193-0001LF,10118193-0001LF,CONN_10118193-0001LF_AMP,J1,,10118193-0001LF,,,Amphenol-ICC_2020-03-31,,Amphenol,
2,10 uF,CAP 0603,603,"C1, C8",,CC0805ZKY5V6BB106,,,,,,Unpolarized capacitor
2,18 pF,CAP 0603,603,"C2, C3",,CC0603JRNPO9BN180,,,,,,Unpolarized capacitor
1,1 uF,CAP 0603,603,C4,,CC0603ZRY5V6BB105,,,,,,Unpolarized capacitor
1,2K2,R-USR0603,603,R3,,RC0603FR-072K2L,,,,,,Resistor
1,4.7 uF,CAP 0603,603,C10,,CL10A475KP8NNNC,,,,,,Unpolarized capacitor
2,470,R-USR0603,603,"R1, R2",,RC0603FR-07470RL,,,,,,Resistor
1,ATSAMD21E18A-AU,ATSAMD21E18A-AU,32-TQFP,SAMD21,,ATSAMD21E18A,,,,,,
1,CRYSTAL.ABS07,CRYSTAL.ABS07,ABS07,Y1,abracon,ABS07-32.768KHZ-T,,,,,,
1,DTSM-3,DTSM-3,DTSM-3,S2,,DTSM-32S-V-B,,,,,,switch
1,IRLML6402,MOSFET_PCH-IRLML6402,SOT23-3,Q1,,IRLML6402TRPBF ,,,,IRLML6402,,P-channel MOSFETs
1,MCP1703-3302E/CB,MCP1703-3302E/CB,SOT23A_MICROCHIP_CB,U1,,MCP1700T-3302E/TT,,,,,,
1,QUECTEL-L80NOCREAM,QUECTEL-L80NOCREAM,QUECTEL-L80,GPS,,,,,,,,
1,WIRELESS-LORA-RFM95W#SMD,WIRELESS-LORA-RFM95W#SMD,WIRELESS-LORA-RFM95W#SMD,RADIO,,,,,,,,868/915 MHz LoRa Radio Transceiver Module based on SX1276 chip
